sentence	labels
what is the weather	weather
what is on my calendar	calendar
start a timer for 5 minutes	timer
start a timer for 10 minutes	timer
start a timer for 15 minutes	timer
start a timer for 20 minutes	timer
start a timer for 10 minutes and 5 seconds	timer
start a timer for 1 hour	timer
start a timer for 5 minutes	timer
pause timer	timer_pause
resume timer	timer_resume
call bob	call
email bob	email
text bob	text
hello	greet
yo	greet
how are you	greet
what is your favorite dog	pq
what is your favorite food	pq
what is your favorite tv show	pq
what is your favorite football team	pq
what is your favorite soccer team	pq
what is your favorite baseball team	pq
what is your favorite basketball team	pq
do you like chease burgers	pq
do you like chease hotdogs	pq
directions to the nearest starbucks	nav
directions to the nearest taco bell	nav
directions to the nearest round table pizza	nav
directions to starbucks	nav
directions to a gas station	nav
where is the nearest library	nav
how far is the nearest ikea	nav
how is the safeway	nav
how far is the airport	nav
turn on my lights	iot_on
start my dishwasher	iot_on
turn on the speakers	iot_on
turn on the lights in the kitchen	iot_on
turn off the bedroom lights	iot_off
	""